date|time|description|vendor|amount
2023-10-23|14:21:01|check|kmart|99.25
2023-10-23|14:37:17|bojangles|bojangles|15.25
2023-10-23|14:39:30|chicken tenders|burger king|-10.24
2023-10-24|09:01:11|Workers Comp|State of North Carolina|244.0
2023-10-24|09:07:37|deposit|cashapp|200.0
2023-12-11|02:10:44|cheese|target|-1.50
2023-10-24|11:33:30|DollarTreePayroll|dollartreee|20.0
2023-09-24|11:11:11|water gun|Ollie's|-40.44
2019-02-10|11:23:44|burger|Wendy's|-10.75
2022-07-09|05:03:21|Kale|Trader Joe's|-67.89
2023-10-24|14:27:23|honda civic|honda Dealer|-2000.0
2023-10-24|15:51:52|gucci belt|GUCCI|-5000000.0
2023-10-24|15:52:34|Work Paycheck|dominos|500.0
1996-04-01|06:11:24|Nintendo64|Circuit City|-300.98
